label,workload,concurrency,max_num_seqs,status,ok,fail,rps,wall_time_s,summ_p50_s,summ_p90_s,summ_p99_s,summ_mean_s,overall_n,overall_p50,overall_p90,overall_p99,overall_mean,short_n,short_p50,short_p90,short_p99,short_mean,long_n,long_p50,long_p90,long_p99,long_mean
BAD_unfair,mix_50_50.jsonl,4,32,ok,200,0,4.677001000301474,42.76244541899996,0.7754190559999188,1.2865134680996562,1.496147819420057,0.849990336399992,200,0.7754190559999188,1.2865134680996562,1.496147819420057,0.849990336399992,108,0.517009962999964,0.97349242040018,1.0191497866703776,0.6389471708518983,92,1.0728377304999412,1.340620379700067,1.5241214844197386,1.097736661173841
BAD_unfair,mix_50_50.jsonl,8,32,ok,200,0,7.324899955681311,27.304127184000208,1.08804935750004,1.5589486299999409,1.9035087683899108,1.0845560054350016,200,1.08804935750004,1.5589486299999409,1.9035087683899108,1.0845560054350016,108,0.7972106534998602,1.186518670399619,1.3046523474094829,0.854632807333305,92,1.3553265280002051,1.6218613302999074,1.940950905529917,1.3544658466848194
BAD_unfair,mix_50_50.jsonl,16,32,ok,200,0,10.69315559601706,18.7035527729995,1.4043296580002789,2.084426640700349,2.463395941279523,1.4440143386850104,200,1.4043296580002789,2.084426640700349,2.463395941279523,1.4440143386850104,108,1.1018015774998275,1.5615434760000424,2.0041900213805715,1.170633915101866,92,1.7319290630002795,2.371047161199749,2.488373768990205,1.7649391837608757
BAD_unfair,mix_50_50.jsonl,32,32,ok,200,0,15.37267448706068,13.010097895999934,2.089596325999992,2.8601070177996,3.41935078070026,2.0255556079099826,200,2.089596325999992,2.8601070177996,3.41935078070026,2.0255556079099826,108,1.75025170050003,2.30198785029952,2.550841480519912,1.619408241379612,92,2.5931005679999544,3.330836631799502,3.4998984686904806,2.5023372990543304
BAD_unfair,mix_50_50.jsonl,48,32,ok,200,0,17.569705289755326,11.383230207999986,2.5747685380001712,3.308054571900356,3.951483603159347,2.46436826505998,200,2.5747685380001712,3.308054571900356,3.951483603159347,2.46436826505998,108,2.2638820264996866,2.7317663374000403,2.9476598838103745,2.0045807423055404,92,3.0478212859998166,3.670982374500182,4.178901465490144,3.0041188352499733
BAD_unfair,mix_50_50.jsonl,64,32,ok,200,0,15.976705614283,12.518225273000098,3.737645744499787,4.966000817699387,5.377106484290243,3.4951604314599947,200,3.737645744499787,4.966000817699387,5.377106484290243,3.4951604314599947,108,3.4780973664996964,4.792524190199856,4.977240339499994,2.9658990884907293,92,4.175358569000309,5.150478838099389,5.448364473710254,4.116467225380436
BAD_unfair,mix_50_50.jsonl,1,48,ok,200,0,1.3220136256570256,151.2843711429996,0.4580632230004084,1.2827486664999015,1.302974220830174,0.7562366512699873,200,0.4580632230004084,1.2827486664999015,1.302974220830174,0.7562366512699873,108,0.4552132114999949,0.4579444478997175,0.4619484670507244,0.4537766225463218,92,1.2155523179999363,1.2929970725001112,1.3034851367899227,1.1112984241195076
BAD_unfair,mix_50_50.jsonl,2,48,ok,200,0,2.743947955444865,72.88767981299952,0.7313314990005892,1.0639483369994196,1.2944482469595822,0.728104994124983,200,0.7313314990005892,1.0639483369994196,1.2944482469595822,0.728104994124983,108,0.4863339590006035,0.726139294999939,0.7514949043700017,0.5291468704814112,92,1.0113353725000709,1.2258618471007146,1.316025314419876,0.9616645305761328
BAD_unfair,mix_50_50.jsonl,4,48,ok,200,0,4.716243127454548,42.40663481399952,0.7778842190000432,1.2838435984996976,1.3986931808501673,0.8454854356450323,200,0.7778842190000432,1.2838435984996976,1.3986931808501673,0.8454854356450323,108,0.5180501369995909,0.978081582699906,1.0256489160793625,0.6389109528148075,92,1.0784154575003413,1.328907281500597,1.5456902385399645,1.0879859154892093
BAD_unfair,mix_50_50.jsonl,8,48,ok,200,0,7.384087312951498,27.085270193000724,1.0566482260001069,1.512969579199671,1.8565746682600817,1.0678771824600015,200,1.0566482260001069,1.512969579199671,1.8565746682600817,1.0678771824600015,108,0.8122387294997679,1.155328564100455,1.311209493699771,0.8573708790370178,92,1.302305348000118,1.5977274779002983,1.894156084090583,1.314993277782635
