label,workload,concurrency,max_num_batched_tokens,max_num_seqs,status,ok,fail,rps,wall_time_s,summ_p50_s,summ_p90_s,summ_p99_s,summ_mean_s,overall_n,overall_p50,overall_p90,overall_p99,overall_mean,short_n,short_p50,short_p90,short_p99,short_mean,long_n,long_p50,long_p90,long_p99,long_mean
FAIR,mix_50_50.jsonl,32,3072,48,ok,200,0,5.062190880895292,39.50858525600052,5.706175863499084,11.559883995799826,14.48123734337836,6.190331672199973,200,5.706175863499084,11.559883995799826,14.48123734337836,6.190331672199973,108,4.153833074999966,9.228642200499044,13.092625750500236,5.085997041250014,92,6.821759519000807,13.070463035200191,14.762436985049808,7.486724499836881
FAIR,mix_50_50.jsonl,32,4096,48,ok,200,0,4.933521988813356,40.538990289998765,5.82970222700078,11.775016123098792,13.46931631609079,6.279759519134878,200,5.82970222700078,11.775016123098792,13.46931631609079,6.279759519134878,108,4.569707487499727,9.44539026909951,12.09266284507099,5.082686062703589,92,6.418148493000444,13.186926754398522,13.55447011128994,7.685019663641173
FAIR,mix_50_50.jsonl,32,6144,48,ok,200,0,4.838867466136389,41.33198551100031,6.445059732000118,10.33039417540076,12.711707256209156,6.553908091289968,200,6.445059732000118,10.33039417540076,12.711707256209156,6.553908091289968,108,5.196079765499235,9.575983782799996,10.15490432242972,5.45884972898146,92,7.368269340499864,11.574216726600389,12.972748415188912,7.839411386173869
FAIR,mix_50_50.jsonl,32,8192,48,ok,200,0,4.752496046103851,42.083149161999245,6.70295280999926,11.70018765470013,12.929004947111316,6.678003841694981,200,6.70295280999926,11.70018765470013,12.929004947111316,6.678003841694981,108,4.614139068000441,9.769913217700925,11.09897687461098,5.249452344787035,92,7.086934291000034,11.8588359638994,13.045494191170876,8.354999077195613
FAIR,mix_50_50.jsonl,32,512,64,ok,200,0,4.299997803479419,46.511651666000034,7.526823592500477,11.095338539601109,12.850784353251038,6.970772818850073,200,7.526823592500477,11.095338539601109,12.850784353251038,6.970772818850073,108,6.338960371499525,9.886974009299593,11.766197411050832,6.029021541250064,92,8.094452918499883,11.810800266799925,12.939263272160662,8.076306927337042
FAIR,mix_50_50.jsonl,32,768,64,ok,200,0,4.493655280164384,44.507196820999525,7.15496687850009,10.555789031200948,12.43358833919046,6.7657940823250105,200,7.15496687850009,10.555789031200948,12.43358833919046,6.7657940823250105,108,6.092758717500146,9.467329577800228,11.207467716699629,5.890661936805592,92,7.781219806500303,11.381021290600255,12.792648989930347,7.793123122717371
FAIR,mix_50_50.jsonl,32,1024,64,ok,200,0,4.6291389389733215,43.20457921799971,6.839334017499823,10.395674785198937,12.455249263829463,6.628865338890027,200,6.839334017499823,10.395674785198937,12.455249263829463,6.628865338890027,108,5.9823653684998135,9.206639008900677,11.173211552549493,5.769658233120363,92,7.748930803500116,11.042822370899556,12.695045832449562,7.637499767402242
FAIR,mix_50_50.jsonl,32,1536,64,ok,200,0,4.9386456706433135,40.49693242600006,6.4637631155001145,9.623154573600186,12.32572004600919,6.293890300595049,200,6.4637631155001145,9.623154573600186,12.32572004600919,6.293890300595049,108,6.086196904000644,8.717633323099472,10.248557962888915,5.223098876898162,92,7.552125500000329,10.700177578500009,12.611475606389831,7.55090631971748
FAIR,mix_50_50.jsonl,32,2048,64,ok,200,0,5.091619447196586,39.28023334699901,6.38758813450022,9.789697059800528,12.720619258370952,6.170403203109909,200,6.38758813450022,9.789697059800528,12.720619258370952,6.170403203109909,108,5.239603359001194,9.511338328600688,11.568512971589737,5.018378939712875,92,7.414746549499796,10.922550255999884,12.827997483019736,7.522779512315123
FAIR,mix_50_50.jsonl,32,3072,64,ok,200,0,5.083874925483428,39.34007089700026,5.548233620998872,12.176495529699968,15.012159748769882,6.121968515130029,200,5.548233620998872,12.176495529699968,15.012159748769882,6.121968515130029,108,4.483216941000137,9.221040181199886,13.487389513700982,5.022867595537061,92,6.384126039499279,13.109190024900093,15.03314682788985,7.412217420739165
FAIR,mix_50_50.jsonl,32,4096,64,ok,200,0,4.953218767616764,40.37778450400037,6.225492749000296,11.608885549000297,12.990876516190855,6.389816857849955,200,6.225492749000296,11.608885549000297,12.990876516190855,6.389816857849955,108,4.620183718999215,9.571922638100476,11.654740690719846,5.215758184379579,92,6.88876659449943,12.152119781799955,13.028809403979286,7.768059648445615
FAIR,mix_50_50.jsonl,32,6144,64,ok,200,0,4.834417732429684,41.37002863000089,6.527976718500213,11.467796395501136,13.450396184990415,6.556030646800054,200,6.527976718500213,11.467796395501136,13.450396184990415,6.556030646800054,108,4.366397030999906,10.301272961099492,10.80474100801961,5.091816895629631,92,7.07566572450105,11.653447678300108,14.017352365610389,8.274890267739249
FAIR,mix_50_50.jsonl,32,8192,64,ok,200,0,4.730651751991492,42.27747263700076,5.250586234500588,11.973775830299743,14.778622175819471,6.575533445969995,200,5.250586234500588,11.973775830299743,14.778622175819471,6.575533445969995,108,4.46813004500018,9.871424548499816,11.210775816349924,5.05552893547213,92,6.745899051000379,13.650862655299171,14.83471633866142,8.359886566989228
FAIR,mix_50_50.jsonl,32,512,80,ok,200,0,4.357295446103117,45.90003190599964,7.429903795999053,10.897965243299767,12.697954677399007,6.887959415009927,200,7.429903795999053,10.897965243299767,12.697954677399007,6.887959415009927,108,6.383761441000388,9.742623346999787,11.622057808850496,5.946628641638839,92,8.038523918498868,11.763322281500406,12.922808597681234,7.992999888097727
FAIR,mix_50_50.jsonl,32,768,80,ok,200,0,4.492707235611878,44.51658866499929,7.239313164500345,10.643174631500552,12.379688551129563,6.7705329859201,200,7.239313164500345,10.643174631500552,12.379688551129563,6.7705329859201,108,6.099494643999606,9.469659954800772,11.193200689139973,5.878605645944576,92,7.973810955500994,11.315333332199952,12.799981430059615,7.817578124152236
FAIR,mix_50_50.jsonl,32,1024,80,ok,200,0,4.629575668174272,43.20050353100123,7.066726210000525,10.349390831799065,12.444070987009688,6.63134883310996,200,7.066726210000525,10.349390831799065,12.444070987009688,6.63134883310996,108,5.978866422500687,9.59970370399933,11.481430697940066,5.786712688250073,92,7.640114626499781,10.941705636099508,12.67196701339921,7.622878220554175
FAIR,mix_50_50.jsonl,32,1536,80,ok,200,0,4.93336573206172,40.54027429999951,6.581201819500166,9.733185727200542,12.51120713818016,6.298661507530015,200,6.581201819500166,9.733185727200542,12.51120713818016,6.298661507530015,108,6.336044950000542,9.07661939599966,11.12613476558013,5.188231231425881,92,7.511907866501133,11.085549185901256,12.591217640379693,7.602210092521823
FAIR,mix_50_50.jsonl,32,2048,80,ok,200,0,5.130777744633095,38.98044506199949,6.420903442999588,10.484437571200395,12.899150731818771,6.111375846670053,200,6.420903442999588,10.484437571200395,12.899150731818771,6.111375846670053,108,5.362421622499824,9.10692142590051,11.960839672120349,4.899535059203758,92,7.361718358000871,10.77803613569995,12.916752401000831,7.533971553695705
FAIR,mix_50_50.jsonl,32,3072,80,ok,200,0,5.054101262053594,39.57182288799959,5.853740357999413,11.520898138000844,14.801549197629916,6.066653775600016,200,5.853740357999413,11.520898138000844,14.801549197629916,6.066653775600016,108,4.034224467000968,9.116698291900311,13.52198439344964,4.951352600277796,92,6.743913369999973,13.286984093698994,15.232932349150287,7.375920372717404
